date,Tooele County,Salt Lake County
8/31/2022,480538.73974415543,577038.8468390475
9/30/2022,474127.3875,568236.3714317792
10/31/2022,468120.9892953238,561402.0908450776
11/30/2022,463137.7289903068,556213.4775195521
12/31/2022,459011.2672660279,552142.9148977225
1/31/2023,455879.4247950956,548399.5497177964
2/28/2023,453546.40382021177,545327.1637650061
3/31/2023,452501.54845721653,543054.8392515042
4/30/2023,452406.41727637703,541278.5934653325
5/31/2023,452787.88958806806,540455.0365851361
6/30/2023,453757.6769070931,541344.2574993302
7/31/2023,454966.70631332806,543285.2929020704
8/31/2023,456765.53782635595,545566.0661004279
9/30/2023,458247.56304428267,547165.6774480193
10/31/2023,461703.1351,548555.2268
11/30/2023,464437.47350358637,549474.7327940679
12/31/2023,466236.4578455023,549845.1338456501
1/31/2024,465565.0211717759,549609.1685936163
2/29/2024,465607.5216984766,549818.9659
3/31/2024,467051.04132755025,551196.4996024199
4/30/2024,468335.83604460536,553141.3005128895
5/31/2024,468372.7243834254,554733.4847
6/30/2024,466974.5526499637,555242.5316296146
7/31/2024,465414.72724370495,555060.8106327372
8/31/2024,465179.9743786992,554814.0517321558
9/30/2024,466489.3449363268,555620.2722987282
10/31/2024,468216.80943156517,557579.6609866371
11/30/2024,470131.41195414384,560535.3134603581
12/31/2024,471536.5774793108,563626.1802542849
1/31/2025,472613.1093235638,566088.2862964057
2/28/2025,472936.4736056181,567190.8423860333
3/31/2025,472396.5253,566667.4106317254
